City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,saharsa,25.8833,86.6,26.85,40,74,1.88,IN,1680279166
333,comodoro rivadavia,-45.8667,-67.5,13.92,38,0,5.14,AR,1680279057
334,lebu,-37.6167,-73.65,16.23,53,7,4.15,CL,1680279167
335,kalayaan,14.35,121.5667,22.5,93,65,2.45,PH,1680279167
336,constitucion,-35.3333,-72.4167,21.43,40,0,4.18,CL,1680279168
337,yarovoye,52.9273,78.58,-4.88,63,10,3.86,RU,1680279168
338,marsh harbour,26.5412,-77.0636,23.41,67,22,10.07,BS,1680279169
339,flin flon,54.7682,-101.865,-6.69,88,94,1.98,CA,1680279169
340,santiago del estero,-27.7951,-64.2615,20.86,92,100,7.19,AR,1680278894
341,nouadhibou,20.931,-17.0347,36.99,13,0,2.06,MR,1680279170
342,camacha,33.0833,-16.3333,20.68,68,20,5.14,PT,1680279172
343,bintulu,3.1667,113.0333,24.78,90,96,2.12,MY,1680279172
344,flinders,-34.5833,150.8552,15.03,75,58,0.89,AU,1680279173
345,peace river,56.2501,-117.286,-2.71,91,78,1.22,CA,1680279173
346,dhidhdhoo,6.8833,73.1,28.27,70,53,3.65,MV,1680279174
347,fort nelson,58.8053,-122.7002,-5.03,92,100,2.68,CA,1680279174
348,inirida,3.8653,-67.9239,26.18,88,96,1.19,CO,1680279175
349,beringovskiy,63.05,179.3167,-14.5,91,7,3.86,RU,1680279175
350,ambon,-3.6954,128.1814,25.08,94,20,2.57,ID,1680279175
351,pevek,69.7008,170.3133,-10.8,77,100,4.82,RU,1680279176
352,najran,17.4924,44.1277,26.49,36,56,7.54,SA,1680279176
353,kaseda,31.4167,130.3167,15.11,75,71,4.9,JP,1680279177
354,dharchula,29.85,80.5333,12.31,85,96,1.6,IN,1680279177
355,klaksvik,62.2266,-6.589,7.51,90,100,11.28,FO,1680279178
356,sao filipe,14.8961,-24.4956,25.03,68,51,3.93,CV,1680279178
357,gusau,12.1628,6.6614,36.73,5,49,3.79,NG,1680279179
358,hirara,24.8,125.2833,21.02,78,34,6.1,JP,1680279179
359,isla vista,34.4133,-119.861,15.46,77,0,1.34,US,1680279179
360,tiarei,-17.5333,-149.3333,25.01,75,90,2.38,PF,1680279180
361,xai-xai,-25.0519,33.6442,23.25,84,75,1.99,MZ,1680279180
362,merrill,45.1805,-89.6835,1.43,98,100,4.12,US,1680278929
363,namibe,-15.1961,12.1522,24.74,77,98,4.47,AO,1680279181
